seed,mode,E_thresh,RV_thresh,n_accepted,n_rejected,retention_rate,fragile_rate,reliable_frac,recall,f1,fragile_rej,accepted_fragile
42,none,0.0,0.0,500,0,1.0,0.19736842105263158,0.488,1.0,0.6559139784946236,0.0,60
42,E_only,1.0,0.0,437,63,0.874,0.18120805369127516,0.5583524027459954,1.0,0.7165932452276065,0.09999999999999998,54
42,E_only,1.5,0.0,359,141,0.718,0.15467625899280577,0.6545961002785515,0.9631147540983607,0.779436152570481,0.2833333333333333,43
42,E_only,2.0,0.0,285,215,0.57,0.14583333333333334,0.7192982456140351,0.8401639344262295,0.775047258979206,0.41666666666666663,35
42,E_only,2.5,0.0,230,270,0.46,0.12935323383084577,0.7608695652173914,0.7172131147540983,0.7383966244725739,0.5666666666666667,26
42,E_only,3.0,0.0,179,321,0.358,0.09433962264150944,0.8044692737430168,0.5901639344262295,0.6808510638297872,0.75,15
42,E_only,4.0,0.0,82,418,0.164,0.05333333333333334,0.8658536585365854,0.29098360655737704,0.4355828220858895,0.9333333333333333,4
42,E_only,5.0,0.0,42,458,0.084,0.02631578947368421,0.8809523809523809,0.15163934426229508,0.2587412587412588,0.9833333333333333,1
42,RV_only,0.0,0.01,78,422,0.156,0.05970149253731343,0.8076923076923077,0.2581967213114754,0.391304347826087,0.9333333333333333,4
42,RV_only,0.0,0.05,199,301,0.398,0.052980132450331126,0.7185929648241206,0.5860655737704918,0.6455981941309256,0.8666666666666667,8
42,RV_only,0.0,0.1,311,189,0.622,0.08071748878923767,0.6591639871382636,0.8401639344262295,0.7387387387387387,0.7,18
42,RV_only,0.0,0.15,377,123,0.754,0.10588235294117647,0.6047745358090185,0.9344262295081968,0.7342995169082126,0.55,27
42,RV_only,0.0,0.2,410,90,0.82,0.11524163568773234,0.5804878048780487,0.9754098360655737,0.7278287461773699,0.4833333333333333,31
42,RV_only,0.0,0.3,456,44,0.912,0.14736842105263157,0.5328947368421053,0.9959016393442623,0.6942857142857143,0.30000000000000004,42
42,RV_only,0.0,0.5,484,16,0.968,0.17845117845117844,0.5041322314049587,1.0,0.6703296703296704,0.1166666666666667,53
42,E+RV,1.0,0.01,75,425,0.15,0.05970149253731343,0.84,0.2581967213114754,0.3949843260188088,0.9333333333333333,4
42,E+RV,1.0,0.05,186,314,0.372,0.052980132450331126,0.7688172043010753,0.5860655737704918,0.6651162790697674,0.8666666666666667,8
42,E+RV,1.0,0.1,287,213,0.574,0.07239819004524888,0.7142857142857143,0.8401639344262295,0.7721280602636537,0.7333333333333334,16
42,E+RV,1.0,0.15,342,158,0.684,0.09881422924901186,0.6666666666666666,0.9344262295081968,0.7781569965870307,0.5833333333333333,25
