mode,E_thresh,RV_thresh,fragile_rate,recall,reliable_frac,f1,fragile_rej,retention,accepted_fragile
E+RV,1.0,0.01,0.0618,0.2474,0.764,0.3732,0.934,0.157,3.95
E+RV,1.0,0.05,0.0668,0.5774,0.7473,0.6508,0.8314,0.3744,10.1
E+RV,1.0,0.1,0.0829,0.8394,0.7117,0.77,0.6923,0.5713,18.425
E+RV,1.0,0.15,0.0987,0.9379,0.6768,0.786,0.5839,0.6712,24.9
E+RV,1.0,0.2,0.1143,0.9752,0.6473,0.7778,0.4907,0.7297,30.525
E+RV,1.0,0.3,0.1394,0.993,0.6081,0.7541,0.3497,0.7907,39.0
E+RV,1.0,0.5,0.1635,0.9954,0.5754,0.729,0.2136,0.8376,47.15
E+RV,1.5,0.01,0.0516,0.2414,0.8216,0.3727,0.9466,0.1423,3.2
E+RV,1.5,0.05,0.0589,0.5631,0.8082,0.6632,0.8561,0.3376,8.625
E+RV,1.5,0.1,0.0719,0.8176,0.7791,0.7976,0.7437,0.5081,15.35
E+RV,1.5,0.15,0.0857,0.9134,0.7481,0.8223,0.6538,0.5912,20.725
E+RV,1.5,0.2,0.0996,0.9494,0.7225,0.8203,0.575,0.6364,25.475
E+RV,1.5,0.3,0.1214,0.9662,0.6863,0.8024,0.4603,0.6817,32.375
E+RV,1.5,0.5,0.1432,0.9684,0.6547,0.781,0.3454,0.7163,39.25
E+RV,2.0,0.01,0.043,0.2231,0.8718,0.3549,0.9595,0.1239,2.425
E+RV,2.0,0.05,0.0494,0.5176,0.8594,0.6455,0.8903,0.2917,6.575
E+RV,2.0,0.1,0.0599,0.7507,0.8357,0.7906,0.806,0.435,11.625
E+RV,2.0,0.15,0.0719,0.8365,0.8078,0.8216,0.7377,0.5014,15.7
E+RV,2.0,0.2,0.0844,0.8695,0.7857,0.8253,0.6756,0.5359,19.45
E+RV,2.0,0.3,0.1033,0.8841,0.7543,0.8138,0.5881,0.5675,24.725
E+RV,2.0,0.5,0.1228,0.8864,0.7259,0.7979,0.4988,0.5912,30.075
E+RV,2.5,0.01,0.0385,0.1909,0.8936,0.314,0.9695,0.1034,1.825
E+RV,2.5,0.05,0.0432,0.4397,0.8879,0.5876,0.9194,0.2397,4.825
E+RV,2.5,0.1,0.0498,0.6382,0.8727,0.7369,0.8647,0.3539,8.1
E+RV,2.5,0.15,0.0606,0.7098,0.8493,0.7729,0.8143,0.4045,11.1
E+RV,2.5,0.2,0.0706,0.7382,0.8313,0.7816,0.7728,0.4299,13.6
E+RV,2.5,0.3,0.0873,0.7512,0.8029,0.7758,0.7093,0.453,17.425
E+RV,2.5,0.5,0.1042,0.7534,0.7782,0.7652,0.6457,0.4687,21.225
E+RV,3.0,0.01,0.0368,0.1527,0.9117,0.2611,0.9766,0.081,1.4
E+RV,3.0,0.05,0.0398,0.3488,0.9093,0.5038,0.9416,0.1856,3.5
