hallucination_rate,controller,final_vtrue,final_vhat,viol_rate,conv_steps,pearson
0.0,adaptive,2.7834,1289.8355,0.4222,19.25,0.9279
0.0,cosine,0.0111,0.0003,0.2345,529.65,0.0535
0.0,grad_clip,0.1585,0.0247,0.4781,7.2,0.0293
0.0,no_damping,358677120859.1668,0.0,0.0143,1000.0,-0.405
0.1,adaptive,3.2498,234.4819,0.3017,19.55,0.8234
0.1,cosine,0.0479,0.0005,0.2031,530.05,0.0758
0.1,grad_clip,0.1676,0.0558,0.4968,7.65,0.1629
0.1,no_damping,346520839244.0786,0.0,0.0141,1000.0,-0.405
0.3,adaptive,3.3829,35.9237,0.2942,23.0,0.7514
0.3,cosine,0.1172,0.0009,0.1867,533.7,0.0696
0.3,grad_clip,0.3967,0.5321,0.5134,8.5,0.2612
0.3,no_damping,331221866133.2898,0.0,0.014,1000.0,-0.4054
0.5,adaptive,3.8163,43.2413,0.3452,20.05,0.7069
0.5,cosine,0.1693,0.0039,0.2026,538.15,0.0625
0.5,grad_clip,0.6261,1.2665,0.5131,9.85,0.3129
0.5,no_damping,341786132001.1259,0.0,0.0139,1000.0,-0.4059
